"","V1"
"COHORT_mean",3
"COHORT_sd",0
"COHORT_median",3
"COHORT_mode",3
"COHORT_IQR",0
"Education_mean",16.027397260274
"Education_sd",2.08148319674354
"Education_median",16
"Education_mode",18
"Education_IQR",4
"Age.at.Exam_mean",70.958904109589
"Age.at.Exam_sd",5.83437694513301
"Age.at.Exam_median",70
"Age.at.Exam_mode",65
"Age.at.Exam_IQR",8
"GDS_mean",0.73972602739726
"GDS_sd",0.943212554993041
"GDS_median",0
"GDS_mode",0
"GDS_IQR",1
"CAPS_mean",1.95890410958904
"CAPS_sd",3.74699270587755
"CAPS_median",0
"CAPS_mode",0
"CAPS_IQR",3
"MoCA_mean",23.2054794520548
"MoCA_sd",3.29122952417815
"MoCA_median",23
"MoCA_mode",24
"MoCA_IQR",4
"ST102TA_mean",2.26601369863014
"ST102TA_sd",0.164563099444043
"ST102TA_median",2.26
"ST102TA_mode",2.113
"ST102TA_IQR",0.198
"ST103TA_mean",2.7193698630137
"ST103TA_sd",0.31904651815341
"ST103TA_median",2.706
"ST103TA_mode",2.549
"ST103TA_IQR",0.367
"ST104TA_mean",2.39895890410959
"ST104TA_sd",0.15784313929026
"ST104TA_median",2.419
"ST104TA_mode",2.385
"ST104TA_IQR",0.192
"ST105TA_mean",2.47143835616438
"ST105TA_sd",0.21241978788745
"ST105TA_median",2.476
"ST105TA_mode",2.252
"ST105TA_IQR",0.288
"ST106TA_mean",2.26269863013699
"ST106TA_sd",0.164727863538247
"ST106TA_median",2.28
"ST106TA_mode",2.25
"ST106TA_IQR",0.229
"ST107TA_mean",1.54767123287671
"ST107TA_sd",0.122082400996954
"ST107TA_median",1.528
"ST107TA_mode",1.493
"ST107TA_IQR",0.188
"ST108TA_mean",1.87776712328767
"ST108TA_sd",0.141801261605807
"ST108TA_median",1.884
"ST108TA_mode",1.609
"ST108TA_IQR",0.167
"ST109TA_mean",2.46390410958904
"ST109TA_sd",0.204095100680456
"ST109TA_median",2.494
"ST109TA_mode",2.783
"ST109TA_IQR",0.228
"ST110TA_mean",2.28997260273973
"ST110TA_sd",0.174401753033584
"ST110TA_median",2.312
"ST110TA_mode",2.062
"ST110TA_IQR",0.238
"ST111TA_mean",2.26508219178082
"ST111TA_sd",0.159286233748545
"ST111TA_median",2.263
"ST111TA_mode",2.069
"ST111TA_IQR",0.215
"ST113TA_mean",2.86632876712329
"ST113TA_sd",0.269859122444498
"ST113TA_median",2.853
"ST113TA_mode",2.658
"ST113TA_IQR",0.366
"ST114TA_mean",2.10923287671233
"ST114TA_sd",0.114506734463275
"ST114TA_median",2.121
"ST114TA_mode",1.949
"ST114TA_IQR",0.145
"ST115TA_mean",2.4718904109589
"ST115TA_sd",0.149926886037072
"ST115TA_median",2.48
"ST115TA_mode",2.271
"ST115TA_IQR",0.202
"ST116TA_mean",2.06771232876712
"ST116TA_sd",0.160203731355842
"ST116TA_median",2.068
"ST116TA_mode",2.103
"ST116TA_IQR",0.16
"ST117TA_mean",2.57176712328767
"ST117TA_sd",0.179742912126362
"ST117TA_median",2.583
"ST117TA_mode",2.324
"ST117TA_IQR",0.255
"ST118TA_mean",2.36078082191781
"ST118TA_sd",0.16183404107083
"ST118TA_median",2.395
"ST118TA_mode",2.51
"ST118TA_IQR",0.234
"ST119TA_mean",3.53057534246575
"ST119TA_sd",0.367843298377637
"ST119TA_median",3.577
"ST119TA_mode",3.178
"ST119TA_IQR",0.485
"ST121TA_mean",2.23031506849315
"ST121TA_sd",0.27236458800212
"ST121TA_median",2.275
"ST121TA_mode",1.461
"ST121TA_IQR",0.409
"ST129TA_mean",2.91721917808219
"ST129TA_sd",0.153640294788341
"ST129TA_median",2.904
"ST129TA_mode",2.958
"ST129TA_IQR",0.159
"ST130TA_mean",2.91508219178082
"ST130TA_sd",0.170893546577383
"ST130TA_median",2.906
"ST130TA_mode",2.783
"ST130TA_IQR",0.229
"ST13TA_mean",2.27554794520548
"ST13TA_sd",0.181922682073082
"ST13TA_median",2.285
"ST13TA_mode",2.131
"ST13TA_IQR",0.26
"ST14TA_mean",2.62965753424658
"ST14TA_sd",0.431002810611424
"ST14TA_median",2.69
"ST14TA_mode",3.335
"ST14TA_IQR",0.666
"ST15TA_mean",2.33042465753425
"ST15TA_sd",0.175255124969303
"ST15TA_median",2.347
"ST15TA_mode",1.918
"ST15TA_IQR",0.234
"ST23TA_mean",1.8347397260274
"ST23TA_sd",0.148831376190684
"ST23TA_median",1.826
"ST23TA_mode",1.683
"ST23TA_IQR",0.212
"ST24TA_mean",3.54945205479452
"ST24TA_sd",0.342269226434067
"ST24TA_median",3.604
"ST24TA_mode",3.425
"ST24TA_IQR",0.41
"ST25TA_mean",2.56957534246575
"ST25TA_sd",0.261079964219576
"ST25TA_median",2.577
"ST25TA_mode",2.934
"ST25TA_IQR",0.333
"ST26TA_mean",2.63068493150685
"ST26TA_sd",0.185304844686347
"ST26TA_median",2.654
"ST26TA_mode",2.561
"ST26TA_IQR",0.245
"ST31TA_mean",2.27868493150685
"ST31TA_sd",0.157348240528977
"ST31TA_median",2.301
"ST31TA_mode",2.043
"ST31TA_IQR",0.256
"ST32TA_mean",2.6902602739726
"ST32TA_sd",0.211701311298441
"ST32TA_median",2.693
"ST32TA_mode",2.471
"ST32TA_IQR",0.219
"ST34TA_mean",2.47331506849315
"ST34TA_sd",0.241349554974633
"ST34TA_median",2.423
"ST34TA_mode",2.395
"ST34TA_IQR",0.334
"ST35TA_mean",2.02945205479452
"ST35TA_sd",0.138428284791951
"ST35TA_median",2.028
"ST35TA_mode",1.91
"ST35TA_IQR",0.157
"ST36TA_mean",2.46245205479452
"ST36TA_sd",0.191032649994117
"ST36TA_median",2.432
"ST36TA_mode",2.268
"ST36TA_IQR",0.228
"ST38TA_mean",1.92108219178082
"ST38TA_sd",0.133646273737872
"ST38TA_median",1.927
"ST38TA_mode",1.942
"ST38TA_IQR",0.176
"ST39TA_mean",2.38497260273973
"ST39TA_sd",0.159298459625211
"ST39TA_median",2.381
"ST39TA_mode",2.379
"ST39TA_IQR",0.198
"ST40TA_mean",2.71338356164384
"ST40TA_sd",0.162847886601183
"ST40TA_median",2.734
"ST40TA_mode",2.654
"ST40TA_IQR",0.207
"ST43TA_mean",2.30041095890411
"ST43TA_sd",0.151053507408655
"ST43TA_median",2.3
"ST43TA_mode",2.077
"ST43TA_IQR",0.18
"ST44TA_mean",2.69324657534247
"ST44TA_sd",0.338117245477804
"ST44TA_median",2.698
