"","V1"
"COHORT_mean",2
"COHORT_sd",0
"COHORT_median",2
"COHORT_mode",2
"COHORT_IQR",0
"Education_mean",16.03125
"Education_sd",2.45586033804856
"Education_median",16
"Education_mode",16
"Education_IQR",4
"Age.at.Exam_mean",69.46875
"Age.at.Exam_sd",5.3218016292084
"Age.at.Exam_median",68
"Age.at.Exam_mode",66
"Age.at.Exam_IQR",6.25
"GDS_mean",1.25
"GDS_sd",1.75976538025624
"GDS_median",0
"GDS_mode",0
"GDS_IQR",2
"CAPS_mean",5.4375
"CAPS_sd",6.25757605343444
"CAPS_median",3
"CAPS_mode",0
"CAPS_IQR",10.25
"MoCA_mean",23.84375
"MoCA_sd",2.47711297878749
"MoCA_median",23.5
"MoCA_mode",23
"MoCA_IQR",4
"ST87SA_mean",91475.634375
"ST87SA_sd",6922.96363461485
"ST87SA_median",89000.85
"ST87SA_mode",78120.4
"ST87SA_IQR",11331.275
"ST28SA_mean",85825.196875
"ST28SA_sd",6569.76734573506
"ST28SA_median",85098.35
"ST28SA_mode",72849.8
"ST28SA_IQR",10202.9
"ST102SA_mean",1493.9375
"ST102SA_sd",198.939922443776
"ST102SA_median",1470
"ST102SA_mode",1432
"ST102SA_IQR",195.25
"ST103SA_mean",682.5625
"ST103SA_sd",87.9622123781093
"ST103SA_median",682.5
"ST103SA_mode",690
"ST103SA_IQR",94
"ST104SA_mean",1400.84375
"ST104SA_sd",195.846567557855
"ST104SA_median",1376.5
"ST104SA_mode",1043
"ST104SA_IQR",169.75
"ST105SA_mean",774.09375
"ST105SA_sd",97.5401850603786
"ST105SA_median",785
"ST105SA_mode",751
"ST105SA_IQR",125.25
"ST106SA_mean",1498.46875
"ST106SA_sd",244.104549834697
"ST106SA_median",1517
"ST106SA_mode",959
"ST106SA_IQR",253.5
"ST107SA_mean",1503.90625
"ST107SA_sd",238.512779041562
"ST107SA_median",1560
"ST107SA_mode",1067
"ST107SA_IQR",338.5
"ST108SA_mean",4115.0625
"ST108SA_sd",411.970476353703
"ST108SA_median",4159
"ST108SA_mode",3414
"ST108SA_IQR",632.75
"ST109SA_mean",1142.625
"ST109SA_sd",136.399496262432
"ST109SA_median",1156.5
"ST109SA_mode",1024
"ST109SA_IQR",217.25
"ST110SA_mean",5108.0625
"ST110SA_sd",587.481883728918
"ST110SA_median",4979
"ST110SA_mode",4048
"ST110SA_IQR",496
"ST111SA_mean",3961.96875
"ST111SA_sd",441.950550757114
"ST111SA_median",3989.5
"ST111SA_mode",3491
"ST111SA_IQR",580.25
"ST113SA_mean",697.21875
"ST113SA_sd",129.029812602834
"ST113SA_median",671
"ST113SA_mode",630
"ST113SA_IQR",185.25
"ST114SA_mean",5797.25
"ST114SA_sd",793.204118870766
"ST114SA_median",5609.5
"ST114SA_mode",4321
"ST114SA_IQR",888.25
"ST115SA_mean",6926.8125
"ST115SA_sd",735.198390495448
"ST115SA_median",6939.5
"ST115SA_mode",5735
"ST115SA_IQR",1014.25
"ST116SA_mean",5578.5
"ST116SA_sd",594.280589751036
"ST116SA_median",5536
