"","V1"
"COHORT_mean",2
"COHORT_sd",0
"COHORT_median",2
"COHORT_mode",2
"COHORT_IQR",0
"Education_mean",16.03125
"Education_sd",2.45586033804856
"Education_median",16
"Education_mode",16
"Education_IQR",4
"Age.at.Exam_mean",69.46875
"Age.at.Exam_sd",5.3218016292084
"Age.at.Exam_median",68
"Age.at.Exam_mode",66
"Age.at.Exam_IQR",6.25
"GDS_mean",1.25
"GDS_sd",1.75976538025624
"GDS_median",0
"GDS_mode",0
"GDS_IQR",2
"CAPS_mean",5.4375
"CAPS_sd",6.25757605343444
"CAPS_median",3
"CAPS_mode",0
"CAPS_IQR",10.25
"MoCA_mean",23.84375
"MoCA_sd",2.47711297878749
"MoCA_median",23.5
"MoCA_mode",23
"MoCA_IQR",4
"ST102TA_mean",2.23575
"ST102TA_sd",0.156905971431835
"ST102TA_median",2.244
"ST102TA_mode",2.205
"ST102TA_IQR",0.17375
"ST103TA_mean",2.7428125
"ST103TA_sd",0.293223072354974
"ST103TA_median",2.697
"ST103TA_mode",2.776
"ST103TA_IQR",0.454000000000001
"ST104TA_mean",2.42134375
"ST104TA_sd",0.141219255146717
"ST104TA_median",2.4225
"ST104TA_mode",2.352
"ST104TA_IQR",0.15625
"ST105TA_mean",2.47828125
"ST105TA_sd",0.220334823565878
"ST105TA_median",2.4635
"ST105TA_mode",2.066
"ST105TA_IQR",0.29125
"ST106TA_mean",2.2365
"ST106TA_sd",0.138948354295005
"ST106TA_median",2.251
"ST106TA_mode",2.176
"ST106TA_IQR",0.13975
"ST107TA_mean",1.537875
"ST107TA_sd",0.104489156714789
"ST107TA_median",1.514
"ST107TA_mode",1.464
"ST107TA_IQR",0.1695
"ST108TA_mean",1.843875
"ST108TA_sd",0.131387078954245
"ST108TA_median",1.825
"ST108TA_mode",1.653
"ST108TA_IQR",0.19325
"ST109TA_mean",2.40765625
"ST109TA_sd",0.147353121922552
"ST109TA_median",2.408
"ST109TA_mode",2.094
"ST109TA_IQR",0.2105
"ST110TA_mean",2.31321875
"ST110TA_sd",0.162534112424478
"ST110TA_median",2.342
"ST110TA_mode",1.808
"ST110TA_IQR",0.19675
"ST111TA_mean",2.24375
"ST111TA_sd",0.14878713957606
"ST111TA_median",2.229
"ST111TA_mode",2.31
"ST111TA_IQR",0.1815
"ST113TA_mean",2.8103125
"ST113TA_sd",0.27698904572494
"ST113TA_median",2.8515
"ST113TA_mode",2.652
"ST113TA_IQR",0.275
"ST114TA_mean",2.118375
"ST114TA_sd",0.107516465355687
"ST114TA_median",2.1075
"ST114TA_mode",2.063
"ST114TA_IQR",0.1355
"ST115TA_mean",2.466
"ST115TA_sd",0.116953257826061
"ST115TA_median",2.4805
"ST115TA_mode",2.449
"ST115TA_IQR",0.13
"ST116TA_mean",2.04928125
"ST116TA_sd",0.154748960989789
"ST116TA_median",2.0355
"ST116TA_mode",1.686
"ST116TA_IQR",0.1795
"ST117TA_mean",2.5735
"ST117TA_sd",0.168226613674493
"ST117TA_median",2.5935
"ST117TA_mode",2.219
"ST117TA_IQR",0.162
